Postal_Code,Name,Median_Household_Income
IN,Warrick County,"65,793"
IN,Washington County,"43,573"
IN,Wayne County,"40,929"
IN,Wells County,"51,182"
IN,White County,"50,731"
IN,Whitley County,"59,266"
IA,Iowa,"53,816"
IA,Adair County,"48,216"
IA,Adams County,"51,929"
IA,Allamakee County,"45,229"
IA,Appanoose County,"40,422"
IA,Audubon County,"50,014"
IA,Benton County,"61,931"
IA,Black Hawk County,"51,331"
IA,Boone County,"54,186"
IA,Bremer County,"62,438"
IA,Buchanan County,"55,781"
IA,Buena Vista County,"50,719"
IA,Butler County,"52,273"
IA,Calhoun County,"49,456"
IA,Carroll County,"52,367"
IA,Cass County,"46,159"
IA,Cedar County,"61,423"
IA,Cerro Gordo County,"49,569"
IA,Cherokee County,"52,894"
IA,Chickasaw County,"50,788"
IA,Clarke County,"45,413"
IA,Clay County,"51,514"
IA,Clayton County,"49,018"
IA,Clinton County,"48,528"
IA,Crawford County,"50,370"
IA,Dallas County,"79,173"
IA,Davis County,"46,750"
IA,Decatur County,"36,742"
IA,Delaware County,"55,958"
IA,Des Moines County,"45,292"
IA,Dickinson County,"56,551"
IA,Dubuque County,"55,320"
IA,Emmet County,"47,342"
IA,Fayette County,"45,522"
IA,Floyd County,"48,292"
IA,Franklin County,"51,045"
IA,Fremont County,"54,154"
IA,Greene County,"49,125"
IA,Grundy County,"61,215"
IA,Guthrie County,"49,507"
IA,Hamilton County,"53,691"
IA,Hancock County,"57,682"
IA,Hardin County,"53,277"
IA,Harrison County,"52,824"
IA,Henry County,"50,347"
IA,Howard County,"49,837"
IA,Humboldt County,"49,696"
IA,Ida County,"53,905"
IA,Iowa County,"58,234"
IA,Jackson County,"50,299"
IA,Jasper County,"52,750"
IA,Jefferson County,"41,094"
IA,Johnson County,"59,946"
IA,Jones County,"51,558"
IA,Keokuk County,"48,316"
IA,Kossuth County,"52,967"
IA,Lee County,"44,719"
IA,Linn County,"62,700"
IA,Louisa County,"50,924"
IA,Lucas County,"42,582"
IA,Lyon County,"61,750"
IA,Madison County,"62,230"
IA,Mahaska County,"48,584"
IA,Marion County,"57,046"
IA,Marshall County,"50,244"
IA,Mills County,"59,399"
IA,Mitchell County,"52,616"
IA,Monona County,"43,178"
IA,Monroe County,"44,705"
IA,Montgomery County,"42,046"
IA,Muscatine County,"54,441"
IA,O'Brien County,"55,968"
IA,Osceola County,"51,423"
IA,Page County,"46,927"
IA,Palo Alto County,"50,600"
IA,Plymouth County,"62,745"
IA,Pocahontas County,"49,625"
IA,Polk County,"61,028"
IA,Pottawattamie County,"51,947"
IA,Poweshiek County,"52,791"
IA,Ringgold County,"42,854"
IA,Sac County,"49,513"
IA,Scott County,"54,959"
IA,Shelby County,"55,637"
IA,Sioux County,"60,205"
IA,Story County,"52,128"
IA,Tama County,"54,957"
IA,Taylor County,"46,501"
IA,Union County,"44,905"
IA,Van Buren County,"42,555"
IA,Wapello County,"42,414"
IA,Warren County,"67,342"
IA,Washington County,"56,243"
IA,Wayne County,"42,006"
IA,Webster County,"43,490"
IA,Winnebago County,"50,703"
IA,Winneshiek County,"55,984"
IA,Woodbury County,"45,641"
IA,Worth County,"50,286"
IA,Wright County,"50,108"
KS,Kansas,"52,392"
KS,Allen County,"39,196"
KS,Anderson County,"45,368"
KS,Atchison County,"44,199"
KS,Barber County,"51,676"
KS,Barton County,"46,942"
KS,Bourbon County,"38,430"
KS,Brown County,"45,781"
KS,Butler County,"60,123"
KS,Chase County,"47,025"
KS,Chautauqua County,"39,120"
